Game,Rating,Number of Reviews,Price
The Witcher 3: Wild Hunt - Blood and Wine,99%,"5,071",$19.99
The Witcher 3: Wild Hunt - Expansion Pass,99%,"2,509",$24.99
Doki Doki Literature Club Fan Pack,99%,"1,330",$9.99
This War of Mine - War Child Charity DLC,99%,"1,081",$0.99
Aseprite,99%,931,$14.99
Portal Bundle,98%,"139,456",$14.98
Portal 2,98%,"100,581",$9.99
Factorio,98%,"35,726",$30.00
One Finger Death Punch,98%,"10,878",$4.99
OneShot,98%,"9,674",$9.99
A Hat in Time - Deluxe Edition,98%,"9,436",$35.18
A Hat in Time,98%,"9,369",$29.99
Finding Paradise,98%,"5,730",$9.99
Keep Talking and Nobody Explodes,98%,"4,622",$14.99
東方天空璋 ～ Hidden Star in Four Seasons.,98%,"3,875",$14.99
Orbt XL,98%,"1,871",$0.99
CLANNAD,98%,"1,647",$49.99
TY the Tasmanian Tiger,98%,"1,560",$14.99
NEKOPARA Extra,98%,"1,227",$4.99
Angels with Scaly Wings - Digital Deluxe Edition,98%,760,$14.94
Epic Battle Fantasy 5,98%,723,$14.99
Terraria,97%,"191,126",$9.99
The Witcher 3: Wild Hunt - Game of the Year Edition,97%,"186,487",$49.99
The Witcher® 3: Wild Hunt,97%,"178,132",$39.99
The Binding of Isaac: Rebirth,97%,"61,660",$14.99
Mount & Blade: Warband,97%,"57,086",$19.99
Portal,97%,"38,875",$9.99
Hotline Miami,97%,"37,507","$9.99
$2.49"
BattleBlock Theater®,97%,"35,633",$14.99
RimWorld,97%,"28,900",$34.99
South Park™: The Stick of Truth™,97%,"26,600",$29.99
The Wolf Among Us,97%,"17,318",$14.99
Super Hexagon,97%,"14,523",$2.99
VA-11 Hall-A: Cyberpunk Bartender Action,97%,"9,928",$14.99
The Room,97%,"9,585",$4.99
Danganronpa 1 + 2,97%,"9,239",$35.98
Beat Saber,97%,"8,939",$19.99
DEEP SPACE WAIFU COLLECTION,97%,"7,457","$15.93
$13.61"
NEKOPARA Vol. 2,97%,"7,348",$9.99
NEKOPARA Vol. 3,97%,"7,132",$9.99
Arcade Score Chaser Bundle,97%,"7,133",$5.53
Arcade Score Chaser Bundle,97%,"7,133",$5.53
The Room Two,97%,"6,934",$4.99
Hook,97%,"5,927",$0.99
STEINS;GATE,97%,"5,121",$29.99
Celeste,97%,"5,114",$19.99
Danganronpa: Trigger Happy Havoc,97%,"5,048",$19.99
Bit Blaster XL,97%,"4,646",$0.99
Gorogoa,97%,"4,137",$14.99
Hidden Folks EVERYTHING,97%,"3,758",$12.57
Hidden Folks,97%,"3,709",$7.99
The Witcher 3: Wild Hunt - Hearts of Stone,97%,"3,284",$9.99
klocki,97%,"3,273",$0.99
GORN,97%,"2,892",$19.99
Defense Grid: The Awakening,97%,"2,790",$9.99
West of Loathing,97%,"2,735",$10.99
DUSK,97%,"2,576",$20.00
Return of the Obra Dinn,97%,"2,320",$19.99
LiEat,97%,"2,258",$2.99
TY the Tasmanian Tiger - The Boomerang Collection,97%,"2,135",$48.41
TIS-100,97%,"2,073",$6.99
Unreal Tournament 2004: Editor's Choice Edition,97%,"1,918",$14.99
Unreal Tournament: Game of the Year Edition,97%,"1,867",$9.99
Epic Battle Fantasy 4,97%,"1,834",$11.99
Day of the Tentacle Remastered,97%,"1,796",$14.99
Opus Magnum,97%,"1,655",$19.99
Higurashi When They Cry Hou,97%,"1,632",$39.54
Primordia,97%,"1,574",$9.99
Touhou Luna Nights,97%,"1,554",$11.99
Glass Masquerade,97%,"1,546",$4.99
Rakuen,97%,"1,489",$9.99
Outlast: Whistleblower DLC,97%,"1,461",$8.99
Lethal League Blaze,97%,"1,424",$19.99
UNDERTALE Soundtrack,97%,"1,339",$9.99
Don't Starve: Reign of Giants,97%,"1,295",$4.99
Caves of Qud,97%,"1,258","$9.99
$8.99"
Neighbours from Hell Compilation,97%,"1,153",$9.99
The Legend of Heroes: Trails in the Sky SC,97%,992,$29.99
The Room Three,97%,919,$5.99
Lose社人气作品合集,97%,797,"$59.97
$29.68"
Angels with Scaly Wings,97%,745,$9.99
Mushihimesama,97%,728,$19.99
Deep Space Waifu: FANTASY,97%,681,$1.99
Crystalline,97%,660,$19.99
Complete Edition / 完全典藏版 / コンプリートエディション (Touhou Genso Wanderer -Reloaded-),97%,585,$72.98
Elegance Edition / 潇洒畅玩版 / エレガンスエディション (Touhou Genso Wanderer -Reloaded-),97%,571,$60.39
爱上火车-Pure Station- Maitetsu:Pure Station,97%,556,"$24.99
$13.74"
NEKO-NIN exHeart,97%,544,$9.99
The House in Fata Morgana,97%,525,$24.99
Left 4 Dead Bundle,96%,"161,424",$14.98
Left 4 Dead 2,96%,"148,428",$9.99
Klei Survival Bundle,96%,"134,342",$44.83
Euro Truck Simulator 2 Essentials,96%,"133,258",$50.94
Euro Truck Simulator 2,96%,"124,929",$19.99
Don't Starve MEGA PACK PLUS,96%,"118,689",$28.09
Stardew Valley,96%,"98,039",$14.99
Borderlands 2 Game of the Year,96%,"93,784",$39.99
Borderlands 2,96%,"90,871",$19.99
Don't Starve Together,96%,"65,114",$14.99
Wallpaper Engine,96%,"55,477",$3.99
Don't Starve Alone Pack Plus,96%,"53,575",$20.21
Don't Starve,96%,"48,819",$9.99
Half-Life 2,96%,"49,104",$9.99
Cozy Couch Co-Op Bundle,96%,"48,657",$61.55
Castle Crashers and Pit People,96%,"42,517",$29.56
NEKOPARA complete edition,96%,"38,119",$29.66
Castle Crashers®,96%,"36,860",$14.99
FTL: Faster Than Light,96%,"33,136",$9.99
Dishonored - Definitive Edition,96%,"31,338",$19.99
Killing Floor,96%,"31,435",$19.99
Dishonored,96%,"30,609",$9.99
To the Moon,96%,"29,455",$9.99
Saints Row: The Third,96%,"29,712",$9.99
Outlast,96%,"29,413",$19.99
Broforce,96%,"24,928",$14.99
Slay the Spire,96%,"21,901",$15.99
Bastion Soundtrack Edition,96%,"20,674",$24.98
Bastion,96%,"20,586",$14.99
Mirror Bundle,96%,"20,269",$6.76
Slime Rancher: Soundtrack Edition,96%,"19,888",$26.98
Slime Rancher,96%,"19,858",$19.99
Mirror,96%,"18,405",$1.99
HuniePop Deluxe Edition,96%,"14,200",$14.99
HuniePop,96%,"14,032",$9.99
NEKOPARA Vol. 1,96%,"13,707",$9.99
Ori and the Blind Forest: Definitive Edition,96%,"13,608",$19.99
NecroDancer ULTIMATE PACK,96%,"13,105",$55.94
NecroDancer AMPLIFIED PACK,96%,"12,979",$20.88
Crypt of the NecroDancer,96%,"12,700",$14.99
Plants vs. Zombies GOTY Edition,96%,"12,431",$4.99
Relaxing Puzzle Box,96%,"12,149",$6.73
Dust: An Elysian Tail,96%,"11,202",$14.99
Duck Game,96%,"10,849",$12.99
Absolute Despair Collection,96%,"10,097",$62.97
The Zachtronics Puzzle Pack,96%,"8,053",$61.55
Shovel Knight: Treasure Trove,96%,"7,790",$24.99
Trine Enchanted Edition,96%,"7,489",$14.99
Nuclear Throne,96%,"7,137",$11.99
Detention,96%,"6,820",$11.99
DEEP SPACE WAIFU BUNDLE,96%,"6,518","$5.97
$4.65"
DEEP SPACE WAIFU,96%,"6,228","$1.99
$1.19"
LYNE,96%,"6,161",$2.99
Superflight,96%,"4,801",$2.99
Psychonauts,96%,"4,623",$9.99
Recettear: An Item Shop's Tale,96%,"4,529",$19.99
Danganronpa 2: Goodbye Despair,96%,"4,192",$19.99
Downwell,96%,"4,141",$2.99
Fran Bow,96%,"4,113",$14.99
VVVVVV,96%,"4,029",$4.99
Kingdom Rush,96%,"3,700",$9.99
Euro Truck Simulator 2 - Scandinavia,96%,"3,483",$17.99
Devil Daggers,96%,"3,420",$4.99
Stronghold Crusader HD,96%,"3,286",$9.99
PAC-MAN Championship Edition DX+ All You Can Eat Edition Bundle,96%,"3,237",$14.99
GRIS,96%,"3,035",$16.99
Supreme Commander: Forged Alliance,96%,"2,967",$12.99
Hexcells,96%,"2,913",$2.99
"Hot Dogs, Horseshoes & Hand Grenades",96%,"2,782",$19.99
Crawl,96%,"2,790",$14.99
Don't Starve: Shipwrecked,96%,"2,741",$4.99
Freedom Planet,96%,"2,370",$14.99
Defender's Quest: Valley of the Forgotten (DX edition),96%,"2,090",$14.99
Creeper World 3: Arc Eternal,96%,"1,915",$14.99
GemCraft - Chasing Shadows,96%,"1,870",$9.99
Crazy Machines 3,96%,"1,784",$9.99
SpaceChem,96%,"1,773",$9.99
X-COM: UFO Defense,96%,"1,721",$4.99
Doom & Destiny,96%,"1,468",$9.99
SHENZHEN I/O,96%,"1,475",$14.99
Just Shapes & Beats,96%,"1,453",$19.99
SteamWorld Heist,96%,"1,441",$14.99
Mirror: The Lost Shards,96%,"1,420",$1.99
Contradiction - Spot The Liar!,96%,"1,381",$9.99
N++ (NPLUSPLUS),96%,"1,301",$14.99
Sally Face,96%,"1,290",$2.99
Life Goes On: Done to Death,96%,"1,261","$12.99
$2.59"
SteamWorld Dig 2,96%,"1,240",$19.99
eden*,96%,"1,194",$19.99
Fox Hime Zero,96%,"1,104",$1.99
Sid Meier's Civilization V: Brave New World,96%,"1,110",$29.99
Mad Father,96%,"1,044",$4.99
ACE Academy,96%,"1,028",$19.99
Higurashi When They Cry Hou - Ch.1 Onikakushi,96%,991,$5.99
Equilinox,96%,904,$9.99
Indie Game: The Movie,96%,857,$9.99
Ion Maiden,96%,818,$19.99
The Legend of Heroes: Trails of Cold Steel II,96%,753,$39.99
Zup! 8,96%,754,"$0.99
$0.64"
Zup! X,96%,684,"$0.99
$0.64"
Impossible Creatures Steam Edition,96%,643,$9.99
Binding of Isaac: Wrath of the Lamb,96%,629,$2.99
3030 Deathwar Redux - A Space Odyssey,96%,598,$14.99
SIMULACRA,96%,598,$4.99
Touhou Genso Wanderer -Reloaded- / 不可思议的幻想乡TOD -RELOADED- / 不思議の幻想郷TOD -RELOADED-,96%,548,$34.99
Hustle Cat,96%,512,$19.99
Battle Chef Brigade + Soundtrack,96%,507,$26.98
Battle Chef Brigade Deluxe,96%,506,$19.99
Garry's Mod,95%,"299,197",$9.99
Intrepid Explorers Pack,95%,"147,542",$31.98
Counter-Strike Complete,95%,"116,155",$12.98
